"Data captured on:"	"25.08.2023 17:32:58"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.503310E-3
"Edge width falling [s]:"	2.120636E-6


"Time [s]"	"Amplitude"
6.240000E-3	0.000000E+0
6.241000E-3	0.000000E+0
6.242000E-3	0.000000E+0
6.243000E-3	0.000000E+0
6.244000E-3	0.000000E+0
6.245000E-3	0.000000E+0
6.246000E-3	0.000000E+0
6.247000E-3	0.000000E+0
6.248000E-3	0.000000E+0
6.249000E-3	0.000000E+0
6.250000E-3	0.000000E+0
6.251000E-3	0.000000E+0
6.252000E-3	0.000000E+0
6.253000E-3	0.000000E+0
6.254000E-3	0.000000E+0
6.255000E-3	0.000000E+0
6.256000E-3	0.000000E+0
6.257000E-3	0.000000E+0
6.258000E-3	0.000000E+0
6.259000E-3	0.000000E+0
6.260000E-3	0.000000E+0
6.261000E-3	0.000000E+0
6.262000E-3	0.000000E+0
6.263000E-3	0.000000E+0
6.264000E-3	0.000000E+0
6.265000E-3	0.000000E+0
6.266000E-3	0.000000E+0
6.267000E-3	0.000000E+0
6.268000E-3	0.000000E+0
6.269000E-3	0.000000E+0
6.270000E-3	0.000000E+0
6.271000E-3	0.000000E+0
6.272000E-3	0.000000E+0
6.273000E-3	0.000000E+0
6.274000E-3	0.000000E+0
6.275000E-3	0.000000E+0
6.276000E-3	0.000000E+0
6.277000E-3	0.000000E+0
6.278000E-3	0.000000E+0
6.279000E-3	0.000000E+0
6.280000E-3	0.000000E+0
6.281000E-3	0.000000E+0
6.282000E-3	0.000000E+0
6.283000E-3	0.000000E+0
6.284000E-3	0.000000E+0
6.285000E-3	0.000000E+0
6.286000E-3	0.000000E+0
6.287000E-3	0.000000E+0
6.288000E-3	0.000000E+0
6.289000E-3	0.000000E+0
6.290000E-3	0.000000E+0
6.291000E-3	0.000000E+0
6.292000E-3	0.000000E+0
6.293000E-3	0.000000E+0
6.294000E-3	0.000000E+0
6.295000E-3	0.000000E+0
6.296000E-3	0.000000E+0
6.297000E-3	0.000000E+0
6.298000E-3	0.000000E+0
6.299000E-3	0.000000E+0
6.300000E-3	0.000000E+0
6.301000E-3	0.000000E+0
6.302000E-3	0.000000E+0
6.303000E-3	0.000000E+0
6.304000E-3	0.000000E+0
6.305000E-3	0.000000E+0
6.306000E-3	0.000000E+0
6.307000E-3	0.000000E+0
6.308000E-3	0.000000E+0
6.309000E-3	0.000000E+0
6.310000E-3	0.000000E+0
6.311000E-3	0.000000E+0
6.312000E-3	0.000000E+0
6.313000E-3	0.000000E+0
6.314000E-3	0.000000E+0
6.315000E-3	0.000000E+0
6.316000E-3	0.000000E+0
6.317000E-3	0.000000E+0
6.318000E-3	0.000000E+0
6.319000E-3	0.000000E+0
6.320000E-3	0.000000E+0
6.321000E-3	0.000000E+0
6.322000E-3	0.000000E+0
6.323000E-3	0.000000E+0
6.324000E-3	0.000000E+0
6.325000E-3	0.000000E+0
6.326000E-3	0.000000E+0
6.327000E-3	0.000000E+0
6.328000E-3	0.000000E+0
6.329000E-3	0.000000E+0
6.330000E-3	0.000000E+0
6.331000E-3	0.000000E+0
6.332000E-3	0.000000E+0
6.333000E-3	0.000000E+0
6.334000E-3	0.000000E+0
6.335000E-3	0.000000E+0
6.336000E-3	0.000000E+0
6.337000E-3	0.000000E+0
6.338000E-3	0.000000E+0
6.339000E-3	0.000000E+0
6.340000E-3	0.000000E+0
6.341000E-3	0.000000E+0
6.342000E-3	0.000000E+0
6.343000E-3	0.000000E+0
